skintype,skin_condition,product_type,product_name,brand,notable_effects,picture_src
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Face Wash,ACWELL Bubble Free PH Balancing Cleanser,ACWELL ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/ACWELL_BUBBLE_FREE_PH_BALANCING_CLEANSER.jpg
"Normal, Dry, Combination","('redness', 'skin imbalance')",Face Wash,ACWELL pH Balancing Soothing Cleansing Foam,ACWELL ,"('soothing', 'balancing')",https://images.soco.id/8f08ced0-344d-41f4-a15e-9e45c898f92d-.jpg
"Normal, Dry, Oily, Combination, Sensitive","('redness', 'skin imbalance')",Toner,Acwell Licorice pH Balancing Cleansing Toner ,ACWELL ,"('soothing', 'balancing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/19667957711-1583664703095.png"
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,ACWELL Aquaseal Soothing Tonic ,ACWELL ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/ACWELL_AQUASEAL_SOOTHING_TONIC_%28rev%29.jpg
"Normal, Dry","('pigmentation', 'redness')",Toner,Licorice pH Balancing Essence Mist,ACWELL ,"('brightening', 'soothing')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/f60bfbd8-15e7-4d06-9575-f635e3d9d19a-image-0-1610606189420"
"Normal, Dry, Oily, Combination","('dry and dehydrated skin', 'pigmentation', 'wrinkles')",Serum,Licorice pH Balancing Advance Serum,ACWELL ,"('moisturizing', 'brightening', 'anti-aging')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/b6bbd6a7-56d5-4b89-9e95-d69149c87f7f-image-0-1610606096802"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'pigmentation')",Moisturizer,Licorice pH Balancing Essential Cream,ACWELL ,"('moisturizing', 'brightening')","https://www.sociolla.com/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/83c221f3-90b2-41bd-9f50-10c721eb44ca-.jpg"
"Normal, Dry, Combination","('dry and dehydrated skin', 'skin imbalance')",Moisturizer,Real Aqua Balancing Cream,ACWELL ,"('hydrating', 'balancing', 'moisturizing')","https://www.sociolla.com/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/49975d1d-fed4-43ef-befb-0abcaf975728-.jpg"
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,AHC Peony Bright Clearing Toner ,AHC,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/PEONY_BRIGHT_CLEANING_TONER.jpg
Oily,"('wrinkles',)",Toner,AHC Hyaluronic Toner ,AHC,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/HYALURONIC_TONER.jpg
